Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chrM	2751	3707	+	mt-Nd1	2751	protein_coding
chrM	3914	4951	+	mt-Nd2	3914	protein_coding
chrM	5328	6872	+	mt-Co1	5328	protein_coding
chrM	7013	7696	+	mt-Co2	7013	protein_coding
chrM	7766	7969	+	mt-Atp8	7766	protein_coding
chrM	7927	8607	+	mt-Atp6	7927	protein_coding
chrM	8607	9390	+	mt-Co3	8607	protein_coding
chrM	9459	9806	+	mt-Nd3	9459	protein_coding
chrM	9877	10173	+	mt-Nd4l	9877	protein_coding
chrM	10167	11544	+	mt-Nd4	10167	protein_coding
chrM	11742	13565	+	mt-Nd5	11742	protein_coding
chrM	13552	14070	-	mt-Nd6	14070	protein_coding
chrM	14145	15288	+	mt-Cytb	14145	protein_coding
chrY	68549224	68551559	+	Gm20816	68549224	protein_coding
chrY	68549224	68551559	+	Gm20816	68550741	protein_coding
chrY	68817865	68843997	-	Gm20817	68843997	protein_coding
chrY	71703312	71729495	+	Gm20870	71703312	protein_coding
chrY	73680584	73706755	+	Gm20903	73680584	protein_coding
chrY	37188765	37214948	-	Gm20905	37214948	protein_coding
chrY	37913156	37915490	+	Gm20738	37913156	protein_coding
chrY	75207125	75233327	+	Gm20814	75207125	protein_coding
chrY	75726591	75752818	+	Gm20850	75726591	protein_coding
chrY	38431406	38457583	-	Gm20897	38457583	protein_coding
chrY	77972142	77974473	-	Gm20867	77974473	protein_coding
chrY	77972142	77974473	-	Gm20867	77972959	protein_coding
chrY	78846990	78849325	-	Gm20806	78849325	protein_coding
chrY	78846990	78849325	-	Gm20806	78847812	protein_coding
chrY	42505428	42537595	-	Gm29276	42537595	protein_coding
chrY	85539786	85542177	-	Gm20854	85542177	protein_coding
chrY	85539786	85542177	-	Gm20854	85540787	protein_coding
chrY	86073041	86099221	+	Gm20820	86073041	protein_coding
chrY	50604830	50631040	+	Gm20883	50604830	protein_coding
chrY	87562235	87586960	+	Gm20906	87562235	protein_coding
chrY	53412532	53414870	-	Gm20747	53414870	protein_coding
chrY	53412532	53414870	-	Gm20747	53413354	protein_coding
chrY	53840528	53866729	+	Gm20929	53840528	protein_coding
chrY	62471032	62473373	-	Gm20823	62473373	protein_coding
chrY	63236955	63263172	+	Gm21627	63236955	protein_coding
chrY	64481794	64507980	+	Gm20908	64481794	protein_coding
chrY	65213713	65216055	-	Gm20924	65216055	protein_coding
chrY	65213713	65216055	-	Gm20924	65214536	protein_coding
chrY	65386218	65412445	+	Gm20736	65386218	protein_coding
chrY	65386218	65412445	+	Gm20736	65386230	protein_coding
chrY	65386218	65412445	+	Gm20736	65387652	protein_coding
chrY	66751056	66753392	-	Gm20852	66753392	protein_coding
chrY	66751056	66753392	-	Gm20852	66751879	protein_coding
chrY	67057012	67059341	-	Ssty2	67059341	protein_coding
chrY	67057012	67059341	-	Ssty2	67057835	protein_coding
chrY	68279920	68306167	-	Gm20937	68306157	protein_coding
chrY	68279920	68306167	-	Gm20937	68306167	protein_coding
chrY	68279920	68306167	-	Gm20937	68304748	protein_coding
chrY	22830566	22856736	-	Gm21366	22856736	protein_coding
chrY	24410402	24412744	+	Gm20809	24410402	protein_coding
chrY	24410402	24412744	+	Gm20809	24411927	protein_coding
chrY	2932582	2939416	+	Rbmyf4	2932582	protein_coding
chrY	3294976	3306449	-	Rbmyf5	3306449	protein_coding
chrY	3294976	3306449	-	Rbmyf5	3303466	protein_coding
chrY	3326750	3345329	-	Rbmyf6	3345329	protein_coding
chrY	3326750	3345329	-	Rbmyf6	3335010	protein_coding
chrY	3367147	3410167	-	Rbmyf7	3378783	protein_coding
chrY	3367147	3410167	-	Rbmyf7	3410167	protein_coding
chrY	3399188	3410167	-	Rbmyf8	3410148	protein_coding
chrY	3399188	3410167	-	Rbmyf8	3410167	protein_coding
chrY	3399188	3410167	-	Rbmyf8	3407067	protein_coding
chrY	3771673	3783267	+	Rbmyf9	3771673	protein_coding
chrY	3771673	3783267	+	Rbmyf9	3774805	protein_coding
chrY	5043937	5046265	+	Gm20918	5043937	protein_coding
chrY	5043937	5046265	+	Gm20918	5045445	protein_coding
chrY	6267098	6269548	+	Gm20873	6267098	protein_coding
chrY	6267098	6269548	+	Gm20873	6268725	protein_coding
chrY	6916300	6918282	-	Gm20830	6918282	protein_coding
chrY	6916300	6918282	-	Gm20830	6917117	protein_coding
chrY	7253787	7280017	+	Gm28998	7253787	protein_coding
chrY	7632774	7638489	-	Gm20826	7638489	protein_coding
chrY	7632774	7638489	-	Gm20826	7636973	protein_coding
chrY	7722941	7749195	+	Gm28576	7722941	protein_coding
chrY	7994833	7997168	-	Gm29049	7997168	protein_coding
chrY	8069168	8071507	-	Gm20825	8071507	protein_coding
chrY	8069168	8071507	-	Gm20825	8069993	protein_coding
chrY	8257907	8284105	+	Gm20824	8257907	protein_coding
chrY	8832821	8835169	-	Gm20815	8835169	protein_coding
chrY	10144735	10147183	-	Gm21310	10147183	protein_coding
chrY	10144735	10147183	-	Gm21310	10145559	protein_coding
chrY	10322618	10324589	-	Gm20834	10324589	protein_coding
