Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chrM	3307	4262	+	MT-ND1	3307	protein_coding
chrM	4470	5511	+	MT-ND2	4470	protein_coding
chrM	5904	7445	+	MT-CO1	5904	protein_coding
chrM	7586	8269	+	MT-CO2	7586	protein_coding
chrM	8366	8572	+	MT-ATP8	8366	protein_coding
chrM	8527	9207	+	MT-ATP6	8527	protein_coding
chrM	9207	9990	+	MT-CO3	9207	protein_coding
chrM	10059	10404	+	MT-ND3	10059	protein_coding
chrM	10470	10766	+	MT-ND4L	10470	protein_coding
chrM	10760	12137	+	MT-ND4	10760	protein_coding
chrM	12337	14148	+	MT-ND5	12337	protein_coding
chrM	14149	14673	-	MT-ND6	14673	protein_coding
chrM	14747	15887	+	MT-CYB	14747	protein_coding
chrY	2219506	2502805	-	DHRSX	2500976	protein_coding
chrY	2219506	2502805	-	DHRSX	2500973	protein_coding
chrY	2219506	2502805	-	DHRSX	2500650	protein_coding
chrY	2219506	2502805	-	DHRSX	2500589	protein_coding
chrY	624344	659411	+	SHOX	624344	protein_coding
chrY	624344	659411	+	SHOX	630791	protein_coding
chrY	624344	659411	+	SHOX	630807	protein_coding
chrY	1190490	1212723	-	CRLF2	1212649	protein_coding
chrY	1190490	1212723	-	CRLF2	1212634	protein_coding
chrY	1615059	1643081	+	ASMT	1615059	protein_coding
chrY	1615059	1643081	+	ASMT	1615164	protein_coding
chrY	1615059	1643081	+	ASMT	1615175	protein_coding
chrY	1615059	1643081	+	ASMT	1636398	protein_coding
chrY	2486414	2502862	-	ZBED1	2500967	protein_coding
chrY	2486414	2502862	-	ZBED1	2500976	protein_coding
chrY	2486414	2502862	-	ZBED1	2500555	protein_coding
chrY	2486414	2502862	-	ZBED1	2500895	protein_coding
chrY	2486414	2502862	-	ZBED1	2502862	protein_coding
chrY	2486414	2502862	-	ZBED1	2502819	protein_coding
chrY	2486414	2502862	-	ZBED1	2500688	protein_coding
chrY	2486414	2502862	-	ZBED1	2500349	protein_coding
chrY	2486414	2502862	-	ZBED1	2498938	protein_coding
chrY	333933	386955	-	PPP2R3B	386907	protein_coding
chrY	333933	386955	-	PPP2R3B	374044	protein_coding
chrY	333933	386955	-	PPP2R3B	386942	protein_coding
chrY	333933	386955	-	PPP2R3B	386940	protein_coding
chrY	333933	386955	-	PPP2R3B	386936	protein_coding
chrY	333933	386955	-	PPP2R3B	386917	protein_coding
chrY	333933	386955	-	PPP2R3B	386911	protein_coding
chrY	2690988	2741312	+	CD99	2691187	protein_coding
chrY	2690988	2741312	+	CD99	2691276	protein_coding
chrY	2690988	2741312	+	CD99	2691280	protein_coding
chrY	2690988	2741312	+	CD99	2691295	protein_coding
chrY	2690988	2741312	+	CD99	2691310	protein_coding
chrY	2690988	2741312	+	CD99	2691313	protein_coding
chrY	2690988	2741312	+	CD99	2691361	protein_coding
chrY	2690988	2741312	+	CD99	2691170	protein_coding
chrY	2690988	2741312	+	CD99	2691171	protein_coding
chrY	2690988	2741312	+	CD99	2691194	protein_coding
chrY	2690988	2741312	+	CD99	2691199	protein_coding
chrY	2690988	2741312	+	CD99	2691214	protein_coding
chrY	2690988	2741312	+	CD99	2691256	protein_coding
chrY	2690988	2741312	+	CD99	2691324	protein_coding
chrY	2690988	2741312	+	CD99	2691326	protein_coding
chrY	2690988	2741312	+	CD99	2690988	protein_coding
chrY	2690988	2741312	+	CD99	2691200	protein_coding
chrY	2690988	2741312	+	CD99	2691212	protein_coding
chrY	2690988	2741312	+	CD99	2691217	protein_coding
chrY	2690988	2741312	+	CD99	2691228	protein_coding
chrY	2690988	2741312	+	CD99	2691244	protein_coding
chrY	2690988	2741312	+	CD99	2691264	protein_coding
chrY	276322	303358	+	PLCXD1	276322	protein_coding
chrY	276322	303358	+	PLCXD1	276353	protein_coding
chrY	276322	303358	+	PLCXD1	281055	protein_coding
chrY	276322	303358	+	PLCXD1	281194	protein_coding
chrY	276322	303358	+	PLCXD1	281381	protein_coding
chrY	276322	303358	+	PLCXD1	283163	protein_coding
chrY	276322	303358	+	PLCXD1	283465	protein_coding
chrY	276322	303358	+	PLCXD1	283479	protein_coding
chrY	276322	303358	+	PLCXD1	283734	protein_coding
chrY	276322	303358	+	PLCXD1	276356	protein_coding
chrY	276322	303358	+	PLCXD1	281465	protein_coding
chrY	276322	303358	+	PLCXD1	283800	protein_coding
chrY	276322	303358	+	PLCXD1	281412	protein_coding
chrY	276322	303358	+	PLCXD1	283497	protein_coding
chrY	1462572	1537187	-	P2RY8	1537185	protein_coding
chrY	1462572	1537187	-	P2RY8	1494353	protein_coding
chrY	1462572	1537187	-	P2RY8	1537187	protein_coding
chrY	1462572	1537187	-	P2RY8	1494408	protein_coding
chrY	1462572	1537187	-	P2RY8	1494380	protein_coding
chrY	1462572	1537187	-	P2RY8	1537016	protein_coding
chrY	1462572	1537187	-	P2RY8	1481259	protein_coding
chrY	1335025	1382689	+	IL3RA	1336785	protein_coding
chrY	1335025	1382689	+	IL3RA	1336796	protein_coding
chrY	1335025	1382689	+	IL3RA	1336616	protein_coding
chrY	1335025	1382689	+	IL3RA	1336424	protein_coding
chrY	1335025	1382689	+	IL3RA	1336547	protein_coding
chrY	1335025	1382689	+	IL3RA	1336582	protein_coding
chrY	1335025	1382689	+	IL3RA	1336600	protein_coding
chrY	1335025	1382689	+	IL3RA	1336787	protein_coding
chrY	1335025	1382689	+	IL3RA	1336789	protein_coding
chrY	1335025	1382689	+	IL3RA	1335025	protein_coding
chrY	1335025	1382689	+	IL3RA	1335419	protein_coding
chrY	1335025	1382689	+	IL3RA	1336790	protein_coding
chrY	1335025	1382689	+	IL3RA	1336793	protein_coding
chrY	303346	318846	-	GTPBP6	318798	protein_coding
chrY	303346	318846	-	GTPBP6	318796	protein_coding
chrY	303346	318846	-	GTPBP6	318846	protein_coding
chrY	303346	318846	-	GTPBP6	318814	protein_coding
chrY	1386133	1392929	-	SLC25A6	1392113	protein_coding
chrY	1386133	1392929	-	SLC25A6	1392738	protein_coding
chrY	1386133	1392929	-	SLC25A6	1392929	protein_coding
chrY	1386133	1392929	-	SLC25A6	1392123	protein_coding
chrY	1386133	1392929	-	SLC25A6	1392735	protein_coding
chrY	1386133	1392929	-	SLC25A6	1392687	protein_coding
chrY	1403138	1453786	-	ASMTL	1452909	protein_coding
chrY	1403138	1453786	-	ASMTL	1452929	protein_coding
chrY	1403138	1453786	-	ASMTL	1453762	protein_coding
chrY	1403138	1453786	-	ASMTL	1453786	protein_coding
chrY	1403138	1453786	-	ASMTL	1453704	protein_coding
chrY	1403138	1453786	-	ASMTL	1452935	protein_coding
chrY	1403138	1453786	-	ASMTL	1452906	protein_coding
chrY	1403138	1453786	-	ASMTL	1452957	protein_coding
chrY	1403138	1453786	-	ASMTL	1452949	protein_coding
chrY	1403138	1453786	-	ASMTL	1452923	protein_coding
chrY	1403138	1453786	-	ASMTL	1452888	protein_coding
chrY	1403138	1453786	-	ASMTL	1452873	protein_coding
chrY	1403138	1453786	-	ASMTL	1453742	protein_coding
chrY	1403138	1453786	-	ASMTL	1452922	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268793	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268800	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268808	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268814	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268818	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268830	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268832	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268834	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268845	protein_coding
chrY	1268779	1325373	+	CSF2RA	1282686	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268813	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268824	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268779	protein_coding
chrY	1268779	1325373	+	CSF2RA	1268825	protein_coding
chrY	1268779	1325373	+	CSF2RA	1274765	protein_coding
chrY	1591604	1602532	+	AKAP17A	1591604	protein_coding
chrY	1591604	1602532	+	AKAP17A	1591625	protein_coding
chrY	1591604	1602532	+	AKAP17A	1591626	protein_coding
chrY	1591604	1602532	+	AKAP17A	1591772	protein_coding
chrY	1591604	1602532	+	AKAP17A	1593410	protein_coding
chrY	1591604	1602532	+	AKAP17A	1592075	protein_coding
chrY	57207346	57212230	+	WASH6P	57207481	protein_coding
chrY	57184216	57199537	+	IL9R	57184216	protein_coding
chrY	57184216	57199537	+	IL9R	57184226	protein_coding
chrY	57067747	57130289	+	VAMP7	57067865	protein_coding
chrY	57067747	57130289	+	VAMP7	57067895	protein_coding
chrY	57067747	57130289	+	VAMP7	57067898	protein_coding
chrY	57067747	57130289	+	VAMP7	57067747	protein_coding
chrY	57067747	57130289	+	VAMP7	57067868	protein_coding
chrY	57067747	57130289	+	VAMP7	57067863	protein_coding
chrY	57067747	57130289	+	VAMP7	57067927	protein_coding
chrY	57067747	57130289	+	VAMP7	57067846	protein_coding
chrY	57067747	57130289	+	VAMP7	57067850	protein_coding
chrY	57067747	57130289	+	VAMP7	57067888	protein_coding
chrY	57067747	57130289	+	VAMP7	57067900	protein_coding
chrY	22973819	23005465	+	BPY2	22973819	protein_coding
chrY	22973819	23005465	+	BPY2	22984263	protein_coding
chrY	22973819	23005465	+	BPY2	22992344	protein_coding
chrY	18731440	18773735	-	HSFY2	18773715	protein_coding
chrY	18731440	18773735	-	HSFY2	18773686	protein_coding
chrY	18731440	18773735	-	HSFY2	18773735	protein_coding
chrY	18546691	18588963	+	HSFY1	18546720	protein_coding
chrY	18546691	18588963	+	HSFY1	18546691	protein_coding
chrY	3579067	3580041	+	TGIF2LY	3579067	protein_coding
chrY	3579067	3580041	+	TGIF2LY	3579115	protein_coding
chrY	18025787	18027746	+	CDY2A	18025787	protein_coding
chrY	25030901	25062548	-	BPY2C	25052104	protein_coding
chrY	25030901	25062548	-	BPY2C	25044023	protein_coding
chrY	25030901	25062548	-	BPY2C	25062548	protein_coding
chrY	24833843	24907040	+	DAZ4	24833843	protein_coding
chrY	24833843	24907040	+	DAZ4	24833917	protein_coding
chrY	24833843	24907040	+	DAZ4	24833919	protein_coding
chrY	24833843	24907040	+	DAZ4	24833934	protein_coding
chrY	24833843	24907040	+	DAZ4	24833940	protein_coding
chrY	24833843	24907040	+	DAZ4	24834127	protein_coding
chrY	17878260	17880220	-	CDY2B	17880220	protein_coding
chrY	2786855	2787682	-	SRY	2787682	protein_coding
chrY	2841602	2932000	+	RPS4Y1	2841602	protein_coding
chrY	2841602	2932000	+	RPS4Y1	2841920	protein_coding
chrY	13703899	13706024	+	TMSB4Y	13703899	protein_coding
chrY	13985772	13986473	-	VCY	13986473	protein_coding
chrY	24763069	24813492	-	DAZ3	24813393	protein_coding
chrY	24763069	24813492	-	DAZ3	24813469	protein_coding
chrY	24763069	24813492	-	DAZ3	24813492	protein_coding
chrY	23129355	23199010	-	DAZ1	23199008	protein_coding
chrY	23129355	23199010	-	DAZ1	23199010	protein_coding
chrY	6865918	6911752	-	AMELY	6911752	protein_coding
chrY	6865918	6911752	-	AMELY	6872608	protein_coding
chrY	6910686	7101970	+	TBL1Y	6910686	protein_coding
chrY	6910686	7101970	+	TBL1Y	6910697	protein_coding
chrY	6910686	7101970	+	TBL1Y	7086381	protein_coding
chrY	23219447	23291356	+	DAZ2	23219447	protein_coding
chrY	23219447	23291356	+	DAZ2	23219533	protein_coding
chrY	23219447	23291356	+	DAZ2	23219548	protein_coding
chrY	14056227	14056958	+	VCY1B	14056227	protein_coding
chrY	20756108	20781032	+	RPS4Y2	20756108	protein_coding
chrY	5000226	5742224	+	PCDH11Y	5000226	protein_coding
chrY	5000226	5742224	+	PCDH11Y	5000296	protein_coding
chrY	5000226	5742224	+	PCDH11Y	5000400	protein_coding
chrY	5000226	5742224	+	PCDH11Y	5056088	protein_coding
chrY	5000226	5742224	+	PCDH11Y	5056090	protein_coding
chrY	24045229	24048019	-	CDY1B	24047969	protein_coding
chrY	24045229	24048019	-	CDY1B	24048019	protein_coding
chrY	24607560	24639207	+	BPY2B	24607560	protein_coding
chrY	24607560	24639207	+	BPY2B	24618004	protein_coding
chrY	24607560	24639207	+	BPY2B	24626085	protein_coding
chrY	25622117	25624902	+	CDY1	25622162	protein_coding
chrY	25622117	25624902	+	CDY1	25622117	protein_coding
chrY	21511338	21525786	+	RBMY1B	21511338	protein_coding
